.text section layout
  Starting        Virtual
  address  Size   address
  -----------------------
  00000000 000efc 800056e0  1 .text 	m_Do_main.o 
  0024d57c 000284 80252c5c  4 cLib_addCalcPosXZ(cXyz*, cXyz const&, f32, f32, f32) 	SComponent.a c_lib.cpp
  0024d800 000158 80252ee0  4 cLib_addCalcPos2(cXyz*, cXyz const&, f32, f32) 	SComponent.a c_lib.cpp
  0024d958 000170 80253038  4 cLib_addCalcPosXZ2(cXyz*, cXyz const&, f32, f32) 	SComponent.a c_lib.cpp
  0024dac8 0000c8 802531a8  4 cLib_addCalcAngleS(i16*, i16, i16, i16, i16) 	SComponent.a c_lib.cpp
  0024db90 000054 80253270  4 cLib_addCalcAngleS2(i16*, i16, i16, i16) 	SComponent.a c_lib.cpp
  0024dbe4 000098 802532c4  4 cLib_addCalcAngleL(i32*, i32, i32, i32, i32) 	SComponent.a c_lib.cpp
  0024dc7c 000074 8025335c  4 cLib_chaseUC(u8*, u8, u8) 	SComponent.a c_lib.cpp
  0024dcf0 000070 802533d0  4 cLib_chaseS(i16*, i16, i16) 	SComponent.a c_lib.cpp
  0024dd60 00006c 80253440  4 cLib_chaseF(f32*, f32, f32) 	SComponent.a c_lib.cpp
  0024ddcc 000164 802534ac  4 cLib_chasePos(cXyz*, cXyz const&, f32) 	SComponent.a c_lib.cpp
  0024df30 000180 80253610  4 cLib_chasePosXZ(cXyz*, cXyz const&, f32) 	SComponent.a c_lib.cpp
  0024e0b0 000074 80253790  4 cLib_chaseAngleS(i16*, i16, i16) 	SComponent.a c_lib.cpp
  0024e124 000038 80253804  4 cLib_targetAngleY(cXyz*, cXyz*) 	SComponent.a c_lib.cpp
  0024e15c 0000cc 8025383c  4 cLib_targetAngleX(cXyz*, cXyz*) 	SComponent.a c_lib.cpp
  0024e228 000074 80253908  4 cLib_offsetPos(cXyz*, cXyz*, i16, cXyz*) 	SComponent.a c_lib.cpp
  0024e29c 000028 8025397c  4 cLib_distanceAngleS(i16, i16) 	SComponent.a c_lib.cpp
  0024e2c4 000010 802539a4  4 MtxInit() 	SComponent.a c_lib.cpp
  0024e2d4 000048 802539b4  4 MtxTrans(f32, f32, f32, u8) 	SComponent.a c_lib.cpp
  0024e31c 000050 802539fc  4 MtxRotX(f32, u8) 	SComponent.a c_lib.cpp
  0024e36c 000050 80253a4c  4 MtxRotY(f32, u8) 	SComponent.a c_lib.cpp
  0024e3bc 000050 80253a9c  4 MtxRotZ(f32, u8) 	SComponent.a c_lib.cpp
  0024e40c 000048 80253aec  4 MtxScale(f32, f32, f32, u8) 	SComponent.a c_lib.cpp
  0024e454 000030 80253b34  4 MtxPosition(cXyz*, cXyz*) 	SComponent.a c_lib.cpp
  0024e484 00003c 80253b64  4 MtxPush() 	SComponent.a c_lib.cpp
  0024e4c0 000010 80253ba0  4 MtxPull() 	SComponent.a c_lib.cpp
  0024e4d0 00003c 80253bb0  1 .text 	SComponent.a c_lib.cpp
  0024e4d0 001d50 80253bb0  1 .text 	SComponent.a c_angle.cpp
  0024e4d0 000030 80253bb0  4 cSAngle(cSAngle const&) 	SComponent.a c_angle.cpp
  0024e500 000030 80253be0  4 cSAngle(i16) 	SComponent.a c_angle.cpp
  0024e530 000030 80253c10  4 cSAngle(f32) 	SComponent.a c_angle.cpp
  0024e560 00000c 80253c40  4 cSAngle::Val(cSAngle const&) 	SComponent.a c_angle.cpp
  0024e56c 000008 80253c4c  4 cSAngle::Val(i16) 	SComponent.a c_angle.cpp
  0024e574 000024 80253c54  4 cSAngle::Val(f32) 	SComponent.a c_angle.cpp
  0024e598 000034 80253c78  4 cSAngle::Degree() const 	SComponent.a c_angle.cpp
  0024e5cc 000034 80253cac  4 cSAngle::Radian() const 	SComponent.a c_angle.cpp
  0024e600 000034 80253ce0  4 cSAngle::Norm() const 	SComponent.a c_angle.cpp
  0024e634 00001c 80253d14  4 cSAngle::Abs() const 	SComponent.a c_angle.cpp
  0024e650 000010 80253d30  4 cSAngle::Inv() const 	SComponent.a c_angle.cpp
  0024e660 000028 80253d40  4 cSAngle::Sin() const 	SComponent.a c_angle.cpp
  0024e688 000028 80253d68  4 cSAngle::Cos() const 	SComponent.a c_angle.cpp
  0024e6b0 000028 80253d90  4 cSAngle::Tan() const 	SComponent.a c_angle.cpp
  0024e6d8 00002c 80253db8  4 cSAngle::__mi() const 	SComponent.a c_angle.cpp
  0024e704 000030 80253de4  4 cSAngle::__pl(cSAngle const&) const 	SComponent.a c_angle.cpp
  0024e734 000030 80253e14  4 cSAngle::__mi(cSAngle const&) const 	SComponent.a c_angle.cpp
  0024e764 000014 80253e44  4 cSAngle::__apl(cSAngle const&) 	SComponent.a c_angle.cpp
  0024e778 000014 80253e58  4 cSAngle::__ami(cSAngle const&) 	SComponent.a c_angle.cpp
  0024e78c 00002c 80253e6c  4 cSAngle::__pl(i16) const 	SComponent.a c_angle.cpp
  0024e7b8 00002c 80253e98  4 cSAngle::__mi(i16) const 	SComponent.a c_angle.cpp
  0024e7e4 000010 80253ec4  4 cSAngle::__apl(i16) 	SComponent.a c_angle.cpp
  0024e7f4 000010 80253ed4  4 cSAngle::__ami(i16) 	SComponent.a c_angle.cpp
  0024e804 000050 80253ee4  4 cSAngle::__ml(f32) const 	SComponent.a c_angle.cpp
  0024e854 000040 80253f34  4 cSAngle::__amu(f32) 	SComponent.a c_angle.cpp
  0024e894 00002c 80253f74  4 __pl(i16, cSAngle const&) 	SComponent.a c_angle.cpp
  0024e8c0 00002c 80253fa0  4 __mi(i16, cSAngle const&) 	SComponent.a c_angle.cpp
  0024e8ec 000030 80253fcc  4 cDegree(f32) 	SComponent.a c_angle.cpp
  0024e91c 000040 80253ffc  4 cDegree::Formal() 	SComponent.a c_angle.cpp
  0024e95c 000024 8025403c  4 cDegree::Val(f32) 	SComponent.a c_angle.cpp
  0024e980 000010 80254060  4 cDegree::Radian() const 	SComponent.a c_angle.cpp
  0024e990 000028 80254070  4 cDegree::Sin() const 	SComponent.a c_angle.cpp
  0024e9b8 000028 80254098  4 cDegree::Cos() const 	SComponent.a c_angle.cpp
  0024e9e0 000030 802540c0  4 cSPolar(cXyz const&) 	SComponent.a c_angle.cpp
  0024ea10 0000c0 802540f0  4 cSPolar::Formal() 	SComponent.a c_angle.cpp
  0024ead0 000064 802541b0  4 cSPolar::Val(f32, i16, i16) 	SComponent.a c_angle.cpp
  0024eb34 00020c 80254214  4 cSPolar::Val(cXyz const&) 	SComponent.a c_angle.cpp
  0024ed40 0000c8 80254420  4 cSPolar::Xyz() const 	SComponent.a c_angle.cpp
  0024ee08 00003c 802544e8  4 cSPolar::Globe(cSGlobe*) const 	SComponent.a c_angle.cpp
  0024ee44 000030 80254524  4 cSGlobe(cSGlobe const&) 	SComponent.a c_angle.cpp
  0024ee74 000030 80254554  4 cSGlobe(f32, i16, i16) 	SComponent.a c_angle.cpp
  0024eea4 000030 80254584  4 cSGlobe(f32, cSAngle const&, cSAngle const&) 	SComponent.a c_angle.cpp
  0024eed4 000030 802545b4  4 cSGlobe(cXyz const&) 	SComponent.a c_angle.cpp
  0024ef04 0000bc 802545e4  4 cSGlobe::Formal() 	SComponent.a c_angle.cpp
  0024efc0 000038 802546a0  4 cSGlobe::Val(cSGlobe const&) 	SComponent.a c_angle.cpp
  0024eff8 000064 802546d8  4 cSGlobe::Val(f32, i16, i16) 	SComponent.a c_angle.cpp
  0024f05c 000068 8025473c  4 cSGlobe::Val(f32, cSAngle const&, cSAngle const&) 	SComponent.a c_angle.cpp
  0024f0c4 000044 802547a4  4 cSGlobe::Val(cXyz const&) 	SComponent.a c_angle.cpp
  0024f108 000040 802547e8  4 cSGlobe::Xyz() const 	SComponent.a c_angle.cpp
  0024f148 00003c 80254828  4 cSGlobe::Polar(cSPolar*) const 	SComponent.a c_angle.cpp
  0024f184 00002c 80254864  4 cSGlobe::Invert() 	SComponent.a c_angle.cpp
  0024f1b0 000198 80254890  1 .text 	SComponent.a c_angle.cpp
  0024f1b0 00002c 80254890  4 cAngle::Adjust<f>(f32, f32, f32) 	SComponent.a c_angle.cpp
  0024f1dc 0000b8 802548bc  4 __sinit_c_angle_cpp 	SComponent.a c_angle.cpp
  0024f294 00003c 80254974  1 .text 	SComponent.a c_angle.cpp
  0024f294 000474 80254974  1 .text 	SComponent.a c_data_tbl.cpp
  0024f294 00001c 80254974  4 cDT_NamePTbl() 	SComponent.a c_data_tbl.cpp
  0024f2b0 000048 80254990  4 ~cDT_NamePTbl() 	SComponent.a c_data_tbl.cpp
  0024f2f8 00000c 802549d8  4 cDT_NamePTbl::Set(u32, i8**) 	SComponent.a c_data_tbl.cpp
  0024f304 000078 802549e4  4 cDT_NamePTbl::GetIndex(i8 const*, i32) const 	SComponent.a c_data_tbl.cpp
  0024f37c 00003c 80254a5c  4 cDT_Format() 	SComponent.a c_data_tbl.cpp
  0024f3b8 000060 80254a98  4 ~cDT_Format() 	SComponent.a c_data_tbl.cpp
  0024f418 00003c 80254af8  4 cDT_Name() 	SComponent.a c_data_tbl.cpp
  0024f454 000060 80254b34  4 ~cDT_Name() 	SComponent.a c_data_tbl.cpp
  0024f4b4 000020 80254b94  4 cDT_DataSrc() 	SComponent.a c_data_tbl.cpp
  0024f4d4 000048 80254bb4  4 ~cDT_DataSrc() 	SComponent.a c_data_tbl.cpp
  0024f51c 000010 80254bfc  4 cDT_DataSrc::Set(u32, u32, u8*) 	SComponent.a c_data_tbl.cpp
  0024f52c 000044 80254c0c  4 cDT_DataSrc::GetInf(i32, i32) const 	SComponent.a c_data_tbl.cpp
  0024f570 000040 80254c50  4 cDT() 	SComponent.a c_data_tbl.cpp
  0024f5b0 000070 80254c90  4 ~cDT() 	SComponent.a c_data_tbl.cpp
  0024f620 000068 80254d00  4 cDT::Set(u32, i8**, u32, i8**, u8*) 	SComponent.a c_data_tbl.cpp
  0024f688 000024 80254d68  4 cDT::GetInf(i32, i32) const 	SComponent.a c_data_tbl.cpp
  0024f6ac 000044 80254d8c  1 .text 	SStandard.a s_basic.cpp
  0024f6ac 000020 80254d8c  4 sBs_FillArea_s(void*, u32, i16) 	SStandard.a s_basic.cpp
  0024f6cc 000024 80254dac  4 sBs_ClearArea(void*, u32) 	SStandard.a s_basic.cpp
  0024f6f0 0003f0 80254dd0  1 .text 	JFramework.a JFWSystem.cpp
  0024f6f0 000084 80254dd0  4 JFWSystem::firstInit() 	JFramework.a JFWSystem.cpp
  0024f774 00036c 80254e54  4 JFWSystem::init() 	JFramework.a JFWSystem.cpp
  0024fae0 001f1c 802551c0  1 .text 	JFramework.a JFWDisplay.cpp
  0024fae0 0000bc 802551c0  4 JFWDisplay::ctor_subroutine(_GXRenderModeObj const*, bool) 	JFramework.a JFWDisplay.cpp
  0024fb9c 000070 8025527c  4 JFWDisplay(_GXRenderModeObj const*, JKRHeap*, JUTXfb::EXfbNumber, bool) 	JFramework.a JFWDisplay.cpp
  0024fc0c 000068 802552ec  4 ~JFWDisplay() 	JFramework.a JFWDisplay.cpp
  0024fc74 000098 80255354  4 JFWDisplay::createManager(JKRHeap*, JUTXfb::EXfbNumber, bool) 	JFramework.a JFWDisplay.cpp
  0024fd0c 000058 802553ec  4 callDirectDraw() 	JFramework.a JFWDisplay.cpp
  0024fd64 0000e4 80255444  4 JFWDisplay::prepareCopyDisp() 	JFramework.a JFWDisplay.cpp
  0024fe48 000048 80255528  4 JFWDisplay::drawendXfb_single() 	JFramework.a JFWDisplay.cpp
  0024fe90 0000e8 80255570  4 JFWDisplay::exchangeXfb_double() 	JFramework.a JFWDisplay.cpp
  0024ff78 000078 80255658  4 JFWDisplay::exchangeXfb_triple() 	JFramework.a JFWDisplay.cpp
  0024fff0 000060 802556d0  4 JFWDisplay::copyXfb_triple() 	JFramework.a JFWDisplay.cpp
  00250050 000090 80255730  4 JFWDisplay::preGX() 	JFramework.a JFWDisplay.cpp
  002500e0 00010c 802557c0  4 JFWDisplay::endGX() 	JFramework.a JFWDisplay.cpp
  002501ec 0001ec 802558cc  4 JFWDisplay::beginRender() 	JFramework.a JFWDisplay.cpp
  002503d8 0000a0 80255ab8  4 JFWDisplay::endRender() 	JFramework.a JFWDisplay.cpp
  00250478 00018c 80255b58  4 JFWDisplay::endFrame() 	JFramework.a JFWDisplay.cpp
  00250604 000050 80255ce4  4 JFWDisplay::waitBlanking(i32) 	JFramework.a JFWDisplay.cpp
  00250654 000120 80255d34  4 waitForTick(u32, u16) 	JFramework.a JFWDisplay.cpp
  00250774 000024 80255e54  4 JFWThreadAlarmHandler(OSAlarm*, OSContext*) 	JFramework.a JFWDisplay.cpp
  00250798 000074 80255e78  4 JFWDisplay::threadSleep(i64) 	JFramework.a JFWDisplay.cpp
  0025080c 000074 80255eec  4 JFWDisplay::clearEfb_init() 	JFramework.a JFWDisplay.cpp
  00250880 000040 80255f60  4 JFWDisplay::clearEfb(_GXColor) 	JFramework.a JFWDisplay.cpp
  002508c0 00037c 80255fa0  4 JFWDisplay::clearEfb(i32, i32, i32, i32, _GXColor) 	JFramework.a JFWDisplay.cpp
  00250c3c 00008c 8025631c  4 JFWDisplay::calcCombinationRatio() 	JFramework.a JFWDisplay.cpp
  00250cc8 000064 802563a8  4 JFWGXDrawDoneAutoAbort() 	JFramework.a JFWDisplay.cpp
  00250d2c 0000c8 8025640c  4 JFWGXAbortAlarmHandler(OSAlarm*, OSContext*) 	JFramework.a JFWDisplay.cpp
  00250df4 0001e4 802564d4  4 diagnoseGpHang() 	JFramework.a JFWDisplay.cpp
  00250fd8 00005c 802566b8  1 .text 	JFramework.a JFWDisplay.cpp
  00250fd8 000990 802566b8  1 .text 	J3DU.a J3DUClipper.cpp
  00250fd8 000014 802566b8  4 J3DUClipper::init() 	J3DU.a J3DUClipper.cpp
  00250fec 0001bc 802566cc  4 J3DUClipper::calcViewFrustum() 	J3DU.a J3DUClipper.cpp
  002511a8 000148 80256888  4 J3DUClipper::clip(f32 const (*)[4], Vec, f32) 	J3DU.a J3DUClipper.cpp
  002512f0 0002e8 802569d0  4 J3DUClipper::clip(f32 const (*)[4], Vec*, Vec*) 	J3DU.a J3DUClipper.cpp
  002515d8 000104 80256cb8  4 J3DUClipper::clipByBox(J3DModel*) 	J3DU.a J3DUClipper.cpp
  002516dc 001d30 80256dbc  1 .text 	J3DU.a J3DUMotion.cpp
  002516dc 000090 80256dbc  4 ~J3DMtxCalcSoftimage() 	J3DU.a J3DUMotion.cpp
  0025176c 000900 80256e4c  1 .text 	J3DU.a J3DUMotion.cpp
  0025176c 000048 80256e4c  4 J3DMtxCalcSoftimage::init(Vec const&, f32 const ( (&)[3])[4]) 	J3DU.a J3DUMotion.cpp
  002517b4 0000ec 80256e94  4 J3DMtxCalcBasic::init(Vec const&, f32 const ( (&)[3])[4]) 	J3DU.a J3DUMotion.cpp
  002518a0 000004 80256f80  1 .text 	J3DU.a J3DUMotion.cpp
  002518a0 0018a4 80256f80  1 .text 	J3DU.a J3DUDL.cpp
  002518a0 000008 80256f80  1 .text 	J3DU.a J3DUDL.cpp
  002518a0 000008 80256f80  4 J3DShapeMtx::getUseMtxNum() const 	J3DU.a J3DUDL.cpp
  002518a8 000ba8 80256f88  1 .text 	JPALoader.a JPABaseShape.cpp
  002518a8 0002c0 80256f88  4 makeColorTable(JPAColorRegAnmKey*, i32, i32, JKRHeap*) 	JPALoader.a JPABaseShape.cpp
  00251b68 0002c0 80257248  4 JPABaseShapeArc(u8 const*, JKRHeap*) 	JPALoader.a JPABaseShape.cpp
  00251e28 000784 80257508  1 .text 	JPALoader.a JPABaseShape.cpp
  00251e28 000048 80257508  4 ~JPABaseShape() 	JPALoader.a JPABaseShape.cpp
  00251e70 000010 80257550  4 JPABaseShapeArc::isEnableEnvAnm() 	JPALoader.a JPABaseShape.cpp
  00251e80 000010 80257560  4 JPABaseShapeArc::isEnablePrmAnm() 	JPALoader.a JPABaseShape.cpp
  00251e90 00000c 80257570  4 JPABaseShapeArc::getTextureAnmKeyNum() 	JPALoader.a JPABaseShape.cpp
  00251e9c 000010 8025757c  4 JPABaseShapeArc::isEnableTextureAnm() 	JPALoader.a JPABaseShape.cpp
  00251eac 000010 8025758c  4 JPABaseShapeArc::getType() 	JPALoader.a JPABaseShape.cpp
  00251ebc 00005c 8025759c  4 ~JPABaseShapeArc() 	JPALoader.a JPABaseShape.cpp
  00251f18 000010 802575f8  4 JPABaseShapeArc::getDirType() 	JPALoader.a JPABaseShape.cpp
  00251f28 000010 80257608  4 JPABaseShapeArc::getRotType() 	JPALoader.a JPABaseShape.cpp
  00251f38 000010 80257618  4 JPABaseShapeArc::getBasePlaneType() 	JPALoader.a JPABaseShape.cpp
  00251f48 00000c 80257628  4 JPABaseShapeArc::getBaseSizeX() 	JPALoader.a JPABaseShape.cpp
  00251f54 00000c 80257634  4 JPABaseShapeArc::getBaseSizeY() 	JPALoader.a JPABaseShape.cpp
  00251f60 00000c 80257640  4 JPABaseShapeArc::getLoopOffset() 	JPALoader.a JPABaseShape.cpp
  00251f6c 000008 8025764c  4 JPABaseShapeArc::getColLoopOffset() 	JPALoader.a JPABaseShape.cpp
  00251f74 000008 80257654  4 JPABaseShapeArc::getTexLoopOffset() 	JPALoader.a JPABaseShape.cpp
  00251f7c 00000c 8025765c  4 JPABaseShapeArc::isEnableGlobalColAnm() 	JPALoader.a JPABaseShape.cpp
  00251f88 00000c 80257668  4 JPABaseShapeArc::isEnableGlobalTexAnm() 	JPALoader.a JPABaseShape.cpp
  00251f94 000010 80257674  4 JPABaseShapeArc::getListOrder() 	JPALoader.a JPABaseShape.cpp
  00251fa4 000010 80257684  4 JPABaseShapeArc::getChildOrder() 	JPALoader.a JPABaseShape.cpp
  00251fb4 00001c 80257694  4 JPABaseShapeArc::getTevColorArg() 	JPALoader.a JPABaseShape.cpp
  00251fd0 00001c 802576b0  4 JPABaseShapeArc::getTevAlphaArg() 	JPALoader.a JPABaseShape.cpp
  00251fec 00001c 802576cc  4 JPABaseShapeArc::getBlendMode1() 	JPALoader.a JPABaseShape.cpp
  00252008 00001c 802576e8  4 JPABaseShapeArc::getSrcBlendFactor1() 	JPALoader.a JPABaseShape.cpp
  00252024 00001c 80257704  4 JPABaseShapeArc::getDstBlendFactor1() 	JPALoader.a JPABaseShape.cpp
  00252040 00001c 80257720  4 JPABaseShapeArc::getBlendOp1() 	JPALoader.a JPABaseShape.cpp
  0025205c 000010 8025773c  4 JPABaseShapeArc::isEnableAlphaUpdate() 	JPALoader.a JPABaseShape.cpp
  0025206c 000010 8025774c  4 JPABaseShapeArc::isEnableZCmp() 	JPALoader.a JPABaseShape.cpp
  0025207c 00001c 8025775c  4 JPABaseShapeArc::getZCmpFunction() 	JPALoader.a JPABaseShape.cpp
  00252098 000010 80257778  4 JPABaseShapeArc::isEnableZCmpUpdate() 	JPALoader.a JPABaseShape.cpp
  002520a8 000010 80257788  4 JPABaseShapeArc::getZCompLoc() 	JPALoader.a JPABaseShape.cpp
  002520b8 00001c 80257798  4 JPABaseShapeArc::getAlphaCmpComp0() 	JPALoader.a JPABaseShape.cpp
  002520d4 00001c 802577b4  4 JPABaseShapeArc::getAlphaCmpComp1() 	JPALoader.a JPABaseShape.cpp
  002520f0 00001c 802577d0  4 JPABaseShapeArc::getAlphaCmpOp() 	JPALoader.a JPABaseShape.cpp
  0025210c 00000c 802577ec  4 JPABaseShapeArc::getAlphaCmpRef0() 	JPALoader.a JPABaseShape.cpp
  00252118 00000c 802577f8  4 JPABaseShapeArc::getAlphaCmpRef1() 	JPALoader.a JPABaseShape.cpp
  00252124 000010 80257804  4 JPABaseShapeArc::isEnableAnmTone() 	JPALoader.a JPABaseShape.cpp
  00252134 000010 80257814  4 JPABaseShapeArc::isEnableProjection() 	JPALoader.a JPABaseShape.cpp
  00252144 000010 80257824  4 JPABaseShapeArc::isClipOn() 	JPALoader.a JPABaseShape.cpp
  00252154 000018 80257834  4 JPABaseShapeArc::textureIsEmpty() 	JPALoader.a JPABaseShape.cpp
  0025216c 000010 8025784c  4 JPABaseShapeArc::getTextureAnmType() 	JPALoader.a JPABaseShape.cpp
  0025217c 000010 8025785c  4 JPABaseShapeArc::getTextureIndex(u8) 	JPALoader.a JPABaseShape.cpp
  0025218c 00000c 8025786c  4 JPABaseShapeArc::getTextureIndex() 	JPALoader.a JPABaseShape.cpp
  00252198 000010 80257878  4 JPABaseShapeArc::isEnablePrm() 	JPALoader.a JPABaseShape.cpp
  002521a8 000010 80257888  4 JPABaseShapeArc::isEnableEnv() 	JPALoader.a JPABaseShape.cpp
  002521b8 000014 80257898  4 JPABaseShapeArc::getPrmColor(i16) 	JPALoader.a JPABaseShape.cpp
  002521cc 00000c 802578ac  4 JPABaseShapeArc::getPrmColor() 	JPALoader.a JPABaseShape.cpp
  002521d8 000014 802578b8  4 JPABaseShapeArc::getEnvColor(i16) 	JPALoader.a JPABaseShape.cpp
  002521ec 00000c 802578cc  4 JPABaseShapeArc::getEnvColor() 	JPALoader.a JPABaseShape.cpp
  002521f8 000010 802578d8  4 JPABaseShapeArc::getColorRegAnmType() 	JPALoader.a JPABaseShape.cpp
  00252208 00000c 802578e8  4 JPABaseShapeArc::getColorRegAnmMaxFrm() 	JPALoader.a JPABaseShape.cpp
  00252214 000010 802578f4  4 JPABaseShapeArc::isEnableTexScrollAnm() 	JPALoader.a JPABaseShape.cpp
  00252224 00000c 80257904  4 JPABaseShapeArc::getTilingX() 	JPALoader.a JPABaseShape.cpp
  00252230 00000c 80257910  4 JPABaseShapeArc::getTilingY() 	JPALoader.a JPABaseShape.cpp
  0025223c 00000c 8025791c  4 JPABaseShapeArc::getTexStaticTransX() 	JPALoader.a JPABaseShape.cpp
  00252248 00000c 80257928  4 JPABaseShapeArc::getTexStaticTransY() 	JPALoader.a JPABaseShape.cpp
  00252254 00000c 80257934  4 JPABaseShapeArc::getTexStaticScaleX() 	JPALoader.a JPABaseShape.cpp
  00252260 00000c 80257940  4 JPABaseShapeArc::getTexStaticScaleY() 	JPALoader.a JPABaseShape.cpp
  0025226c 00000c 8025794c  4 JPABaseShapeArc::getTexScrollTransX() 	JPALoader.a JPABaseShape.cpp
  00252278 00000c 80257958  4 JPABaseShapeArc::getTexScrollTransY() 	JPALoader.a JPABaseShape.cpp
  00252284 00000c 80257964  4 JPABaseShapeArc::getTexScrollScaleX() 	JPALoader.a JPABaseShape.cpp
  00252290 00000c 80257970  4 JPABaseShapeArc::getTexScrollScaleY() 	JPALoader.a JPABaseShape.cpp
  0025229c 00000c 8025797c  4 JPABaseShapeArc::getTexScrollRotate() 	JPALoader.a JPABaseShape.cpp
  002522a8 0003c0 80257988  1 .text 	JPALoader.a JPAExtraShape.cpp
  002522a8 000120 80257988  4 JPAExtraShapeArc(u8 const*) 	JPALoader.a JPAExtraShape.cpp
  002523c8 000460 80257aa8  1 .text 	JPALoader.a JPAExtraShape.cpp
  002523c8 000048 80257aa8  4 ~JPAExtraShape() 	JPALoader.a JPAExtraShape.cpp
  00252410 00005c 80257af0  4 ~JPAExtraShapeArc() 	JPALoader.a JPAExtraShape.cpp
  0025246c 000010 80257b4c  4 JPAExtraShapeArc::isEnableScale() 	JPALoader.a JPAExtraShape.cpp
  0025247c 000010 80257b5c  4 JPAExtraShapeArc::isDiffXY() 	JPALoader.a JPAExtraShape.cpp
  0025248c 000010 80257b6c  4 JPAExtraShapeArc::isEnableScaleAnmX() 	JPALoader.a JPAExtraShape.cpp
  0025249c 000010 80257b7c  4 JPAExtraShapeArc::isEnableScaleAnmY() 	JPALoader.a JPAExtraShape.cpp
  002524ac 000010 80257b8c  4 JPAExtraShapeArc::isEnableScaleBySpeedX() 	JPALoader.a JPAExtraShape.cpp
  002524bc 000010 80257b9c  4 JPAExtraShapeArc::isEnableScaleBySpeedY() 	JPALoader.a JPAExtraShape.cpp
  002524cc 00000c 80257bac  4 JPAExtraShapeArc::getScaleInTiming() 	JPALoader.a JPAExtraShape.cpp
  002524d8 00000c 80257bb8  4 JPAExtraShapeArc::getScaleOutTiming() 	JPALoader.a JPAExtraShape.cpp
  002524e4 00000c 80257bc4  4 JPAExtraShapeArc::getScaleInValueX() 	JPALoader.a JPAExtraShape.cpp
  002524f0 00000c 80257bd0  4 JPAExtraShapeArc::getScaleInValueY() 	JPALoader.a JPAExtraShape.cpp
  002524fc 000010 80257bdc  4 JPAExtraShapeArc::getAnmTypeX() 	JPALoader.a JPAExtraShape.cpp
  0025250c 000010 80257bec  4 JPAExtraShapeArc::getAnmTypeY() 	JPALoader.a JPAExtraShape.cpp
  0025251c 00000c 80257bfc  4 JPAExtraShapeArc::getAnmCycleX() 	JPALoader.a JPAExtraShape.cpp
  00252528 00000c 80257c08  4 JPAExtraShapeArc::getAnmCycleY() 	JPALoader.a JPAExtraShape.cpp
  00252534 000008 80257c14  4 JPAExtraShapeArc::getIncreaseRateX() 	JPALoader.a JPAExtraShape.cpp
  0025253c 000008 80257c1c  4 JPAExtraShapeArc::getIncreaseRateY() 	JPALoader.a JPAExtraShape.cpp
  00252544 000008 80257c24  4 JPAExtraShapeArc::getDecreaseRateX() 	JPALoader.a JPAExtraShape.cpp
  0025254c 000008 80257c2c  4 JPAExtraShapeArc::getDecreaseRateY() 	JPALoader.a JPAExtraShape.cpp
  00252554 000010 80257c34  4 JPAExtraShapeArc::getPivotX() 	JPALoader.a JPAExtraShape.cpp
  00252564 000010 80257c44  4 JPAExtraShapeArc::getPivotY() 	JPALoader.a JPAExtraShape.cpp
  00252574 00000c 80257c54  4 JPAExtraShapeArc::getRandomScale() 	JPALoader.a JPAExtraShape.cpp
  00252580 000010 80257c60  4 JPAExtraShapeArc::isEnableAlpha() 	JPALoader.a JPAExtraShape.cpp
  00252590 000010 80257c70  4 JPAExtraShapeArc::isEnableSinWave() 	JPALoader.a JPAExtraShape.cpp
  002525a0 00000c 80257c80  4 JPAExtraShapeArc::getAlphaInTiming() 	JPALoader.a JPAExtraShape.cpp
  002525ac 00000c 80257c8c  4 JPAExtraShapeArc::getAlphaOutTiming() 	JPALoader.a JPAExtraShape.cpp
  002525b8 00000c 80257c98  4 JPAExtraShapeArc::getAlphaInValue() 	JPALoader.a JPAExtraShape.cpp
  002525c4 00000c 80257ca4  4 JPAExtraShapeArc::getAlphaBaseValue() 	JPALoader.a JPAExtraShape.cpp
  002525d0 000010 80257cb0  4 JPAExtraShapeArc::getAlphaWaveType() 	JPALoader.a JPAExtraShape.cpp
  002525e0 00000c 80257cc0  4 JPAExtraShapeArc::getAlphaWaveParam1() 	JPALoader.a JPAExtraShape.cpp
  002525ec 00000c 80257ccc  4 JPAExtraShapeArc::getAlphaWaveParam2() 	JPALoader.a JPAExtraShape.cpp
  002525f8 00000c 80257cd8  4 JPAExtraShapeArc::getAlphaWaveParam3() 	JPALoader.a JPAExtraShape.cpp
  00252604 00000c 80257ce4  4 JPAExtraShapeArc::getAlphaWaveRandom() 	JPALoader.a JPAExtraShape.cpp
  00252610 000008 80257cf0  4 JPAExtraShapeArc::getAlphaIncreaseRate() 	JPALoader.a JPAExtraShape.cpp
  00252618 000008 80257cf8  4 JPAExtraShapeArc::getAlphaDecreaseRate() 	JPALoader.a JPAExtraShape.cpp
  00252620 000010 80257d00  4 JPAExtraShapeArc::isEnableRotate() 	JPALoader.a JPAExtraShape.cpp
  00252630 00000c 80257d10  4 JPAExtraShapeArc::getRotateAngle() 	JPALoader.a JPAExtraShape.cpp
  0025263c 00000c 80257d1c  4 JPAExtraShapeArc::getRotateSpeed() 	JPALoader.a JPAExtraShape.cpp
  00252648 00000c 80257d28  4 JPAExtraShapeArc::getRotateRandomAngle() 	JPALoader.a JPAExtraShape.cpp
  00252654 00000c 80257d34  4 JPAExtraShapeArc::getRotateRandomSpeed() 	JPALoader.a JPAExtraShape.cpp
